anio,Derecho,Ingeniería Civil,Ingeniería Comercial,Medicina
2010,7.98,7.49,4.92,10.82
2011,7.45,7.12,4.93,8.57
2012,5.08,4.91,2.88,6.61
2013,4.37,4.71,2.11,6.67
2014,3.54,5.31,2.34,3.25
2015,4.19,4.69,1.84,4.44
2016,3.59,4.45,1.56,3.72
2017,3.58,4.55,1.58,3.51
2018,4.11,4.26,2.04,5.20
2019,2.93,3.88,1.76,3.64
2020,2.24,3.01,1.43,4.35
2021,2.58,2.96,1.22,3.70
2022,2.63,2.75,1.39,3.51
2023,3.42,2.75,1.52,3.14
2024,2.70,2.32,1.03,4.03
2025,2.26,1.84,0.97,2.18
